那我去了解一下桑德拉布洛克	不认识桑德拉布洛克啊。被网友评论女神级人也是非常受关注女明星。那我去了解一下。
那必须的林依晨有一部电影2011年就上映了你知道吗	林依晨啊还有好多保镖呢。肯定自带明星气场咯。那必须的她有一部电影2011年就上映了你知道吗。
电视剧低压槽的主演是谁	张家辉演的低压槽什么时候上映。小布在手，资讯全有。《低压槽欲望之城》于2018年04月28日正式上映。。电视剧的主演是谁。
他不听话啊	我爱你。宝贝我来扑倒你。他不听话啊。
吴宣仪可喜欢看动漫了你呢	哎呦喂吴宣仪。吴宣仪的小钻风。她可喜欢看动漫了你呢。
关秀媚长得确实很媚	现在的明星太妩媚了。你说的谁呀。关秀媚长得确实很媚。
还有一个明星是谁呀	我也如此。还有一个明星我也挺喜欢的和山姆克拉弗林一起出演过曼联。是谁呀。
叫李妮妮长的很清秀李妮妮现在还参与很多电影和电视剧的拍摄	你看了青春无季没里面有一个是饰演妞妞的那个角色你还记得不。看了都很长时间了还是有点印象。叫李妮妮长的很清秀现在还参与很多电影和电视剧的拍摄。
我觉得自己很酷很性感跟布拉德皮特很像	不像布拉德皮特吗。请问你哪一点像他。我觉得自己很酷很性感跟他很像。
但小艾声音比你好听耶	那你认识小艾吗。小布觉得她肯定没有小布可爱。但他声音比你好听耶。
他突然出现了	能算命吗。谁吖命运握在自己手里比较好呢。他突然出现了。
说张淼怎么了	张淼是大傻逼。为什么说人家啦？。说他怎么了。
不是的海豚湾2009年7月31日上映的了海豚湾是很有教育意义的影片	不了我正在看海豚湾呢。新上映的电影吗。不是的2009年7月31日上映的了很有教育意义的影片。
小鼓是谁发明的	弹奏小鼓的技巧。小鼓的演奏方法：敲打鼓面以发声。。它是谁发明的。
我有听说过欢迎来到马文镇一直没去看欢迎来到马文镇	看过是不太好看我比较喜欢看有剧情的电影。我还看了一部电影叫欢迎来到马文镇我感觉还可以哦。我有听说过一直没去看。
我不认识章子怡	你什么时候见的章子怡。章子怡你认识谁不好你认识她 这女人的面相10个你都不是她的对手。我不认识她。
我老婆睡着了我老婆打呼噜	我老婆睡着了他。抱歉，我还是没听懂，可能需要你说慢一点。我老婆睡着了他打呼噜。
苗鼓是用什么材料做成的	我想看苗鼓。苗鼓，是苗族人民普遍喜爱的一种打击乐器，相传说是战神蚩尤所创，最初的用途是驱赶野兽。因为历史原因，苗族分居各地，文化习俗发生了一些变化，苗鼓风格迥异。。它是用什么材料做成的。
没看过超脑48小时有时间我去看看超脑48小时	我比较关注国内的电影。超脑48小时是一部非常棒的英国片。没看过有时间我去看看。
你还是直接跟我说一下蛋白石之梦是谁的代表作吧	我去看看蛋白石之梦应该会不错。先去了解一下这是谁的代表作吧这位明星是1973年6月6日出生的。你还是直接跟我说一下吧。
就是让他消失	关闭这个软件。关闭是什么意思。就是让他消失。
地球是什么颜色的	你知道地球长什么样吗。地球是太阳系八大行星之一，按照离太阳由近及远的次序排为第三颗，也是太阳系中直径、质量和密度最大的类地行星，距离太阳1.5亿公里。现有40亿～46亿岁，它有一个天然卫星——月球，二者组成一个天体系统——地月系统。。它是什么颜色的。
知道你他妈	你别扯这些没用的。你倒是扯些有用的。知道你他妈。
我不太了解在熙	这部电影非常好。这个电影可是在熙的代表作我很喜欢他的呢。我不太了解他。
听超级整蛊霸王的名字就很搞笑	哪部。超级整蛊霸王这部电影剧情的主线不够突出但是影片里的美女还是很多的。听名字就很搞笑。
梦到爷爷病了我说我可以把爷爷的病治好	我梦到爷爷了。啊哈在梦里做了什么呢。他病了我说我可以把他的病治好。
哈哈神战权力之眼的男主角叫杰拉德巴特勒杰拉德巴特勒曾凭借电影赏金猎手被提名为最佳浪漫喜剧电影男演员	神战权力之眼里面的男主角挺帅的哦。真的吗最喜欢看帅哥了报上名来。哈哈他叫杰拉德巴特勒他曾凭借电影赏金猎手被提名为最佳浪漫喜剧电影男演员。
嗯你吃过了和他们	再见啊。脑袋空不要紧关键是不要进水。嗯你吃过了和他们。
听名字就感觉戈达尔爱情与诗歌不错	这么高的评价想不获奖都难。还有一个5年前上映的电影戈达尔爱情与诗歌个人比较喜欢。听名字就感觉不错。
给老公发微信说我想她了	不小布。我是breeno，你也可以叫我小布，说吧，什么事？。给老公发微信说我想她了。
还有一个演员跟你是一个地方的你们都是宁夏银川的	现在的她跟20年前没什么变化。那我们上网一起来看看她的照片吧。还有一个演员跟你是一个地方的你们都是宁夏银川的。
我能看懂的相信你也能看懂爱恨	爱恨我没看懂。那我不知道能不能看懂。我能看懂的相信你也能看懂。
对的现在小孩都不知道曾经的四大天王是谁了	恩刘德华主演的电影也挺看的。就是啊可惜四大天王都老了。对的现在小孩都不知道曾经的四大天王是谁了。
好的有时间去看一下爱情公寓	什么电影啊这么牛。爱情公寓主演是孙艺洲。好的有时间去看一下。
我知道范冰冰是青岛人	谁啊。范冰冰她是青岛人。我知道。
喜欢的人和我分手了	我有喜欢的人了。喜欢一个人是藏不住的，就算你捂住嘴不说，也会从眼睛里跑出来。。他和我分手了。
摇滚歌手我很喜欢你说的是哪一位主演奇门遁甲的摇滚歌手	你还真是了解我哈。那必须的你肯定不知道是谁主演的奇门遁甲奇门遁甲的主演可是华语区最知名摇滚歌手。摇滚歌手我很喜欢你说的是哪一位。
嗯嗯等有空了我去看看芳华	芳华现在确实是很火。是啊有时间你也可以看看是你喜欢的战争类型。嗯嗯等有空了我去看看。
看来绝地逃亡下了很大的准备啊	哪一部电影啊告诉我吧。绝地逃亡为了营造震撼场面影片中有大量直升机航拍及水下摄影画面。看来这部电影下了很大的准备啊。
杨迪还主演了一部电影食人岛很精彩呢	这个人就是杨迪你应该听说过。是啊我也知道他o型血的长的却是不好看。杨迪还主演了一部电影食人岛很精彩呢。
库伊拉库伊拉堪称美国大片	还有一部电影也很不错呢很不错的喜剧电影。什么电影说出来听听。库伊拉堪称美国大片。
知道任容萱如果我没记错的话任容萱应该是o血型的吧	知道啊因为我特别关注台湾师范大学人类发展学系毕业的明星。任容萱知道吗她就是台湾师范大学人类发展学系的。知道如果我没记错的话她应该是o血型的吧。
想听eason的粤语歌	有没有eason的粤语歌。每次听eason的歌都会难过。想听他的粤语歌。
打电话给他女的那个她	打电话给他。你要打给谁呢。打电话给他女的那个她。
真的吗非常喜欢本金斯利	看过这部作品非常不错。这部作品是本金斯利的代表作。真的吗非常喜欢这个明星。
还行我去看一看精灵鼠小弟2	有时间我带家人一块去看看精灵鼠小弟2。这部电影的票房有17040万达尼尔汉森主演的而且还是吉娜戴维斯的代表作。还行我去看一看。
神偷奶爸还是法瑞尔威廉姆斯的代表作呢	礼拜天去看电影吧听说神偷奶爸很不错哦是喜剧3d动画片。好的呀好开心。这个影片还是法瑞尔威廉姆斯的代表作呢。
讨厌五月天	反正我知道你挺喜欢五月天哒。我不喜欢。讨厌。
科比踢足球厉害吗	你知道科比吗。科比柔韧性确实好。他踢足球厉害吗。
再给你推荐一部黄志忠的电影吧是你喜欢的历史类电影哦	嗯黄志忠的演技挺好有意思去看一下黄志忠主演的代表作国家底线。好的。再给你推荐一部他的电影吧是你喜欢的历史类电影哦。
知道范立欣很有才华的	范立欣也是我的偶像。网友评论说她是榜样目标毕业院校是在华中理工大学汉口分院英文系跟你一样都是汉族人。知道他很有才华的。
我他妈就是不要你了	不要你了。为何?我这么萌你居然不要我。我他妈就是不要你了。
我问他如何才能找到他他说用心找	小布如何我怎么样才能找到你。用心找。我问他如何才能找到他他说用心找。
好的我知道了一会我去了解一下征长张的	不知道你给我查一下他的资料吧。他叫征长张a型血出生于1978年4月18日。好的我知道了一会我去了解一下他的。
那我要去看看黄金花啊不然错过了可惜	香港片还是有不少好看的电影呢还有别的资源吗。还有一部香港片叫黄金花大家都说影片拍的很真实我感觉也是值得一看。那我要去看看啊不然错过了可惜。
打给他	给他打电话。你要打给谁呢。打给他。
董博文的代表作叫唐山大地震网友评论说同学看过唐山大地震都说好落泪了	而且董博文的代表作也非常好看是5年前上映的你知道是哪一部吗。这个我还真的不知道呢你告诉我吧。这部电影叫唐山大地震网友评论说同学看过都说好落泪了。
嗯东北出了不少的优秀演员	嗯嗯很霸气。你知道吗马苏是哈尔滨的妹子呢。嗯东北出了不少的优秀演员。
我给老大赚钱	发短信给老大。你要发送什么内容？。我给他赚钱。
谢翔宇是男的	你认识谢翔宇吗。不认识漂亮吗。他是男的。
穆润轩是我儿子	穆润轩这个人怎么样呢。穆润轩是谁。是我儿子。
我才不想看小鸡快跑	道晖芝出演的小鸡快跑是什么时候。目前暂无《小鸡快跑》上映消息，你可以问问小布其他的热播作品。。我才不想看。
那个我二月十六号记得提醒我她过生日	小布小布。你的小宝贝正向你奔来说吧什么事。那个我二月十六号记得提醒我她过生日。
阿悄最配嫁给谁	阿悄的儿子超美。换个说法问问我吧。。他最配嫁给谁。
莉莉科林斯我一直在关注从未放弃	我就是喜欢颜值高尤其是双鱼座的明星。莉莉科林斯颜值就很高人们总说她是赫本和海瑟薇两个大美女的结合体。这位明星我一直在关注从未放弃。
边境风云是杨坤的代表作而且杨坤跟你一样星座都是射手座的哦	叫边境风云很推荐你看看。好的谢谢你的推荐。这部电影是杨坤的代表作而且他跟你一样星座都是射手座的哦。
火星没事故事情节太过于牵强内容空洞如咽筛糠被评为垃圾中的战斗机	但他主演的火星没事评分好像不太高。嗯是的。故事情节太过于牵强内容空洞如咽筛糠被评为垃圾中的战斗机。
她说不晕他负责呢	晕死了。不晕我扶着呢。她说不晕他负责呢。
火锅英雄的票房才371亿但是剧情还不错	白百何演技不错的演员火锅英雄是杨庆大导演的哟。嗯是的。这部电影的票房才371亿但是剧情还不错。
听匆匆那年的名字就是个爱情片呢我很喜欢匆匆那年	嗯你了解的还挺多再多介绍一点吧。她的代表作是匆匆那年2014年12月5日上映的一个电影呢。听这个名字就是个爱情片呢我很喜欢。
小米的老板是雷军	小米不错啊让人感受到了科技的乐趣。小米的老板是谁。是雷军。
是吗美丽时代我还真没听过	回来我会了解一下的。给你介绍部电影名字叫美丽时代我感觉你会喜欢的。是吗这个我还真没听过。
我是我姐姐	你知道我姐姐的手机密码吗。你是谁，为什么要知道这个手机的密码？。我是他。
吴兵是一位明星不过我最喜欢吴兵老婆了特别漂亮叫做何琳	你觉得吴兵帅吗。吴兵是谁啊。一位明星不过我最喜欢他老婆了特别漂亮叫做何琳。
电影喂揾边位的名字好个性	不知道啊你说的哪部电影啊。刘青云主演的电影叫喂揾边位。电影的名字好个性。
那你有看过段博文主演的电影吗	那你知道段博文不。知道他就是四川成都的。那你有看过他主演的电影吗。
对啊周比利演的那部电影也是很厉害哦被评为香港功夫片的巅峰之作	嗯那你知道周比利吗。知道啊实战型高手特别厉害。对啊他演的那部电影也是很厉害哦被评为香港功夫片的巅峰之作。
陈昭荣啊知道陈昭荣吗	圣约翰科技大学毕业的明星知道都有谁吗。太多了你说的是谁啊。陈昭荣啊知道这人吗。
王圣淇是我男朋友	王圣淇。王圣淇是谁阿。我男朋友。
知道包贝尔啊包贝尔长得挺猥琐也没啥演技	有啊有些演员演技真的是堪忧。那你知道包贝尔吗。知道啊他长得挺猥琐也没啥演技。
我吃方便面你和他	我想有个问题请教你。只要你想只要我有。我吃方便面你和他。
这样唱好美最新一期是哪期	参加这样唱好美有片酬吗。小布问了《这样唱好美》的观众，他们说现场追星已经很快乐，还要什么自行车！。最新一期是哪期。
是一部上映20年的电影上映20年的电影承载着爱情和灾难	有一部爱情片我看过好几遍了。什么电影是可以看几遍的。是一部上映20年的电影这部电影承载着爱情和灾难。
那我可要去关注一下阿丽塔战斗天使了	听名字就感觉阿丽塔战斗天使很好看。网评评论说卡梅隆要带给我们一个崭新的女性终结者么期待中。那我可要去关注一下了。
没看过微爱之渐入佳境谁演的啊	怎么了都开始感慨了啊。你看没看过微爱之渐入佳境这个电影啊。没看过谁演的啊。
赵仕瑾主演的枕边有张脸有时间去看看吧	一部听名字就很恐怖的电影要不要了解下。有兴趣说来听听。赵仕瑾主演的枕边有张脸有时间去看看吧。
李易峰是哪儿人	为什么李易峰的音乐那么少  好多都不能下载。我也不知道。哪儿人。
那木星存在多久了？	地球存在多久了。按生存条件说人类可以在地球活50亿年。因为科学家推算太阳在50亿年后会能量耗尽——熄灭，太阳是万物之源，这个你知道吧，没有太阳人类也活不了了。。那木星呢？。
吴世勋帅不帅	认识吴世勋吗。早些时候是吴世勋最高现在很明显是朴灿烈吧购买力不是一般的强。帅不帅。
小布男朋友在喝酒	可是我更想有个男朋友陪我。哦有目标了吗需要小布帮你打电话给他吗。小布他在喝酒。
我用几个词来形容超级好看的纪录片白云苍狗斗转星移人何渺渺	刚刚看了一部纪录片超级好看我要赶紧跟你说说。是什么纪录片看你激动的。我用几个词来形容白云苍狗斗转星移人何渺渺。
陈云好漂亮	给陈云发一条短信。你要发送什么内容。她好漂亮。
没看过烦恼丝	哪部。烦恼丝这部电影是2018年9月21日上映的。没看过。
我看过超人钢铁之躯好看	你看的是什么电影。我看的是超人钢铁之躯。我看过这部电影好看。
过桥米线看着挺好吃	明天中午吃什么。我在吃过桥米线。看着挺好吃。
那是不是应该对他说呢	知道吗。就只是知道了不告诉我偷偷的哈说。那是不是应该对他说呢。
不知道珍妮弗桑德斯是个美女吧	我猜到你会喜欢的啦。这个电影的主演珍妮弗桑德斯你了解吗。不知道是个美女吧。
对我非常喜欢看娘道你也去看看娘道吧	现在她还演电视剧了。是那个娘道吧。对我非常喜欢看你也去看看吧。
惊魂七夜里有一个演员我特别的喜欢演员还是摩羯座的呢	你让你对象陪你去看吧电影叫惊魂七夜。我问问看看他有时间吗。这部电影里有一个演员我特别的喜欢他还是摩羯座的呢。
莎拉的钥匙里面有个演员我很喜欢网友评论说莎拉的钥匙里面的有个演员有完美到无可比拟的演技	莎拉的钥匙这部电影我可以推荐给你看看是剧情电影。我还是很喜欢有剧情的电影的。这部电影里面有个演员我很喜欢网友评论说他有完美到无可比拟的演技。
我喜欢宋康昊韩国实力男明星	你喜欢哪位明星。没有你可以推荐一位吗。我喜欢宋康昊韩国实力男明星。
对呀朱琳中国北京的你知道的还挺多嘛	了解朱琳吗。中国北京的吗。对呀中国北京的你知道的还挺多嘛。
郑伊健是1967年出生的郑伊健还获得过1999第18届香港电影金像奖最佳原创电影歌曲奖哦	她的丈夫是郑伊健我很喜欢他的古惑仔系列呢。我还真不知道是她的丈夫。他是1967年出生的还获得过1999第18届香港电影金像奖最佳原创电影歌曲奖哦。
不知道无耻混蛋的主演谁啊	无耻混蛋的名字好犀利。是啊这部电影的主演是一位双鱼座的演员你知道是谁吗。不知道谁啊。
不知道空天猎啊我都不知道李晨还当导演空天猎名字好绕口	哈哈。李晨是辽宁北方模特职业培训学校毕业的难怪身材不错他还导演过一部电影空天猎。不知道啊我都不知道他还当导演这部电影名字好绕口。
他说因为成长我们忽而间说散就散	我失恋了。因为成长我们忽尔间说散就散。他说因为成长我们忽而间说散就散。
可是我怕她生气	因为我太喜欢他了。喜欢，喷嚏，赘肉都是藏不住的。爱要大声说出来！。可是我怕她生气。
女朋友嫌我穷	女朋友要分手。你们怎么了为啥会说分手呀。她嫌我穷。
七十二家租客的导演可有才华了七十二家租客的导演是香港娱乐界的旗帜	七十二家租客就是他主演的不知道你看过没有。没有那我有时间去看一下。这部电影的导演可有才华了他是香港娱乐界的旗帜。
雷蒙德钱德勒是谁	你知道雷蒙德钱德勒吗。哈哈哈知道了。他是谁。
小布她肚子疼怎么办	我的他在上厕所。哇能不能把厕所的门关上臭死我啦。小布她肚子疼怎么办。
让他们两个交流嘛	小布你在吗。你的小可爱已上线。说吧，什么事。。让他们两个交流嘛。
青年马克思看不懂	最近有什么好看的电影。最近很迷青年马克思比起马克思对燕妮和恩格斯的描绘反而更出彩。看不懂。
英和白好看的话我也去看看	是什么电影啊。片名叫英和白。好看的话我也去看看。
成龙主演的应该错不了去看看神探蒲松龄之兰若仙踪	哪部叫什么名字。神探蒲松龄之兰若仙踪成龙主演的。成龙主演的应该错不了去看看。
用什么姿势弹钢琴	用什么姿势弹琵琶。琵琶演奏姿势分为两种:一种是两腿平放,琵琶放在两腿之间,琴面板与人体正面的夹角为45度。另一种是架腿式,既把左腿架在右腿上,右脚在地上,左脚悬空。琵琶也同样放在两腿之间,这样看起来既美观又大方。。钢琴呢。
嗯是的消逝的星星说是中意友好的典范	你搜英文名字lisolachenoncè试下。哦找到消逝的星星了意大利的啊。嗯是的说是中意友好的典范。
王喜的代表作很火的不过口碑很差不知道你有没有看过	你觉得汉族的明星王喜怎么样。不怎么了解他应该是二线明星吧。他的代表作很火的不过口碑很差不知道你有没有看过。
然后他本来也不在	说那个。你说哪个就是哪个。然后他本来也不在。
猫咪什么品种呀	头像里的猫咪好可爱呦。好啊。什么品种呀。
田壮壮导演的电影狼灾记我非常喜欢的呢	田壮壮。哦认识还有代表着正在消失的羊城。他导演的电影狼灾记我非常喜欢的呢。
刚好我也很喜欢冯绍峰呢	我好想知道你说的是谁了。冯绍峰啊网友们都评论冯帅哥大爱啊哈哈。刚好我也很喜欢他呢。
安和桥吉他谱	安和桥吉他谱。安和桥吉他谱。安和桥吉他谱。
那阿穆隆真的是好厉害呀	这你可真的难住我了。他就是阿穆隆他是2007年度最佳传媒推荐新晋歌手。那他真的是好厉害呀。
他怎么烦着呢	宝宝是我。小朋友要有小朋友的亚子。他怎么烦着呢。
可是我只想要他一个人	因为我失恋了呀。分手快乐祝你快乐你可以找到更好的。可是我只想要他一个人。
不忙我就看苏丹	嗯他们那边的剧情片很不错。现在正在上映的一个电影叫苏丹有机会去看看吧。不忙我就看。
叫尼古拉斯凯奇好听吧	是啊这一位明星的名字也好听。叫什么名字啊。叫尼古拉斯凯奇好听吧。
我觉得德国电影应该换换新题材	算是吧无主之作不太好看看的严肃题材的德国电影太多了。是比较经常拍。我觉得应该换换新题材。
我真的不想看我老公不靠谱	郑伊健是不是有演过我老公不靠谱。郑伊健在戏里扮演张十三，表现十分亮眼，你觉得呢？。我真的不想看。
我曾经的目标也是厦门大学	不在厦门啊我也不画画。啊啊啊我的目标厦门大学。我曾经的目标也是。
永兴坊的美食比回民街好吃	永兴坊的美食你知道不。不知道。比回民街好吃。
我女神是赵丽颖	霍建华和赵丽颖是情侣吗。这两人的瓜，小布给你扒。霍建华和赵丽颖合作的是《花千骨》。。我女神是他。
听薛之谦的歌你会落泪吗	薛之谦的歌绅士。听薛之谦的歌会落泪。你会吗。
科林费斯啊	这位不一样他有另类的帅感。谁啊。科林费斯啊。
找不到对象	没有对象。那就赶紧找个对象呗。找不到。
吃饭了没他说吃了碗面在你心里面	你吃饭你睡觉了没。吃了碗面在你心里面。吃饭了没他说吃了碗面在你心里面。
雪国是提升自己的书	给我推荐书。雪国不错呀川端康成的语言真的很打动人。提升自己的书。
然而吃药并没用	已经吃药了请假躺床上了。最近在吃药。然而并没用。
他是三楼的	看出来。看出啥类咧。他是三楼的。
哇有时间去关注一下高群书	谁啊。他就是毕业于河北大学的高群书他的代表作是命案十三宗。哇有时间去关注一下。
哦好的美女也养眼有时间去看下爱丽丝梦游仙境2镜中奇遇记	是谁啊帅吗。是海伦娜伯翰卡特呀她不帅但是很漂亮特别有女人味爱丽丝梦游仙境2镜中奇遇记也是她的代表作我也推荐你去看看哦。哦好的美女也养眼有时间去看下。
水星有没有人	火星有没有人。目前科学证明火星上尚无生命迹象。空间探测结果证明：月球、水星、金星、木星、土星、天王星、海王星上都没有生命存在迹象，太阳系里只有我们美丽的地球具有生命存在的条件。。那水星呢。
有时间一定看电梯口	喜欢有推荐吗。推荐你一部特别好看的国产片电梯口里面人物刻画非常传神。有时间一定看。
头像可以设置成和我一样吗	头像是你本人吗。我的头像当然是我啦。可以设置成和我一样吗。
faded歌词是什么	歌曲faded。女声抓耳 惊艳。歌词是什么。
热依扎可是北京电影学院表演系毕业的热依扎演技还是有的	都说热依扎外貌很像日本模特桥本丽香。噢人我可以去看看。她可是北京电影学院表演系毕业的演技还是有的。
我去关注一下乔尔埃哲顿	我都没听说过乔尔埃哲顿。他的作品致命礼物还在第42届土星奖中提名了最佳惊悚电影还有一部代表作叫勇士哦。我去关注一下他。
嗯知道傅颖	还好。你知道傅颖吗。嗯知道。
我说的名字和胡歌的名字只有一字之差的明星是胡枫	你知道我说的名字和胡歌的名字只有一字之差的明星是谁吗。你说的谁啊。我说的是胡枫。
黄建为的太极拳在哪里面	小布小布黄建为是谁。山河远阔，人间烟火。无一是你，无一不是你。想要了解黄建为，不如从《Come to Me》作品做起。。他的太极拳在哪里面。
下载图片的网址不是网上一找一大堆吗	就是下载图片嘛。给我下载图片网址。这不是网上一找一大堆吗。
真不错我会多关注张艺兴的	但我不太了解张艺兴。他星座是天秤座还获得过全国向上向善好青年崇义友善好青年。真不错我会多关注他的。
什么电影啊没想到莫妮卡贝鲁奇还和mirellagirardi合作过	嗯呢是的。还有一部电影也是莫妮卡贝鲁奇主演的另一位主演是mirellagirardi哦。什么电影啊没想到她还和这位合作过。
嗯嗯看过赤焰战场很有趣	比较喜欢武打动作类的电影。那你看过罗伯特斯文克导演的赤焰战场吗。嗯嗯看过这部电影很有趣。
想起来了陈羽凡唱歌还不错	知道是知道就是忘记叫什么了。他叫陈羽凡代表作叫独自等待。想起来了唱歌还不错。
可以跟英雄小哪吒对话	那这是什么这个。是他是他就是他我们的英雄小哪吒。可以跟他对话。
有个演技还不错的演员叫菲利普塞默霍夫曼你看过菲利普塞默霍夫曼演的剧吗	喜欢看国外的剧吗。还行。有个演技还不错的演员叫菲利普塞默霍夫曼你看过他演的剧吗。
没看过超级战舰	是吗她拍了什么电影啊。超级战舰啊。没看过。
加菲猫长得很可爱	它是一只加菲猫。加菲语录真喜欢这只懒懒的但是那么有哲理的猫。他长得很可爱。
你刚说的好巧哦你怎么就忘了	你刚说好巧哦。什么好巧。你刚说的你怎么就忘了。
阳光失了玻璃窗发来看看	你看的书多吗。嗯嗯我的诗集阳光失了玻璃窗大家都很喜欢呢。发来看看。
还真巧啊	主演是谁啊。异形契约的主演是丹尼麦克布耐德长了一张喜剧脸和你一样都是摩羯座呢。还真巧啊。
不朽的发生是部喜剧电影导演是个很有才华的人	名字叫不朽的发生虽然口碑很差但是值得一看。嗯找时间一定看下。这是部喜剧电影导演是个很有才华的人。
diebeichte应该很不错	哪一部。diebeichte主演有jochenkuhn。应该很不错。
播放他是他	嗯请播放。当前没有可播放内容，或当前场景不支持此操作哦，告诉我你想播放的内容名称吧。播放他是他。
我问他你的siri是朋友吗他说	你跟siri是朋友吗。我跟你比较熟你却在拿我跟别人比较。我问他你的siri是朋友吗他说。
张晋啊以前很多部戏的男主角呢	嗯前几年有位明星很火的现在又不见出现了。你说的是谁呢。张晋啊以前很多部戏的男主角呢。
我要发声跟陈先明说陈先明辛苦了	发短信给陈先明。你要发送什么内容。我要发声跟他说他辛苦了。
哦是嘛那你有白敬亭签名吗	白敬亭你认识吗。前同事。哦是嘛那你有他签名吗。
那我们就一起看网瘾战争吧	是什么电影啊。电影叫做网瘾战争呢。那我们就一起看吧。
玛莉亚格拉琪亚主演的剧情类电影叫被遗忘的天使是一部口碑不错的电影哦	还有一部电影也是玛莉亚格拉琪亚主演的是一部剧情类型的电影。那你告诉我这部电影的名字好吗。电影叫被遗忘的天使是一部口碑不错的电影哦。
谷德昭听说过么听说演技很好	香港的明星真多1。我挺喜欢香港的明星的你有什么好的推荐吗。谷德昭听说过么听说演技很好。
你能帮我查一下脑部核磁影像相关资料吗	你知道怎么看脑部核磁影像吗。做一个脑部CT。你能帮我查一下相关资料吗。
你知道韩栋吗韩栋演技不错把田伯光演绝了	你觉得哪个演员的演技最好。不太了解。你知道韩栋吗他演技不错把田伯光演绝了。
其他那个一加大舌头练了	打开星座之家我的运势怎么样。请告诉小布你的星座是哪个。其他那个一加大舌头练了。
木星离我们有多远？	去木星。木星是太阳系八大行星中体积最大、自转最快的行星，距离太阳第五远的行星。它的质量为太阳的千分之一，是太阳系中其它七大行星质量总和的2.5倍。由于木星与土星、天王星、海王星皆为气体行星，因此四者又合称类木行星（木星和土星合称气态行星）。。它离我们有多远？。
我认得初音未来的声音唱的歌挺有风格哒	了解吗。你认识初音未来吗。我认得她的声音唱的歌挺有风格哒。
黄曼多少岁了	黄曼帅不帅。黄曼可是偶像派里最有实力的，实力派里最偶像的！走过路过，黄曼的作品《生于1949》可别错过。。他多少岁了。
咱妹妹又偷玩我手机了要不要揍他呢	小布小布。被你喊过的名字叫泡芙因为都很甜说吧什么事。咱妹妹又偷玩我手机了要不要揍他呢。
推荐你看一部电影叫弟弟	最近在看什么电影。最近没看什么电影你有什么好看的电影吗。推荐你看一部电影叫弟弟。
我很讨厌我不喜欢的人	我不喜欢的人他要和我在一起。梦到我见到你然后扑上去然后你无情的推开了我。我很讨厌他。
这么巧什么电影啊	好的有时间我去了解一下。嗯嗯也是江西乐平的和你同一个地方还主演过一部电影看过吗。这么巧什么电影啊。
色情和暴力你确定色情和暴力是喜剧而不是情色电影吗	行我记住了。如果你喜欢看喜剧我还有一部喜剧电影要推荐给你叫色情和暴力。色情和暴力你确定这是喜剧而不是情色电影吗。
我女朋友黄明昊没有牺牲	我女朋友是黄明昊。为国家牺牲的人类真的很伟大。她没有牺牲。
落水姻缘是美国的一部爱情片bobfisher导演的呢你确定不看落水姻缘吗	好吧我相信我看的一部电影叫落水姻缘给我的启示。我还是不看了毕竟我不相信。这个电影是美国的一部爱情片bobfisher导演的呢你确定不看吗。
夜以继日里面的故事情节带点穿越的感觉	我最近在追法国有部电影名字叫做夜以继日。这个名字不错啊。里面的故事情节带点穿越的感觉。
小爱现在很火呀	你觉得小爱怎么样。怎么突然提起她了。他现在很火呀。
听上去感觉不错哦改天看看火星救援	是吗没看过火星救援讲什么的啊。这部电影是小说改编的讲了由于一场沙尘暴主角和他的团队失联孤身一人置身于火星面临着飞船的损毁想方设法回地球的故事。听上去感觉不错哦改天看看。
蚁人是挺好看的电影啊	蚁人。为啥是蚁人。挺好看的电影啊。
我觉得你没有Siri好	我爱的是Siri。怎么突然提起她了我还是希望你能更关注我。我觉得你没有他好。
柴犬就是一种犬类	柴犬感觉。柴犬是啥子。就是一种犬类。
李世荣微博关注的人的数量	李世荣和董璇是父子关系吗。为李世荣喜，为李世荣狂，为了李世荣哐哐撞大墙。你是不是这样？。他微博关注的人的数量。
我想让闺蜜和我一起  闺蜜却让我孤身一人	和闺蜜吵架。咋了这脾气也太火暴了。我想让她和我一起  她却让我孤身一人。
对没错我也很喜欢安卓贾柯墨斯基的	嗯嗯。电影的导演是安卓贾柯墨斯基是个很有才华的人呢。对没错我也很喜欢他的。
超时空同居女主角还演过什么	超时空同居雷佳音演的是谁。雷佳音在剧中饰演陆石屹，剧本身已经足够好看，比剧情更好看的是雷佳音的演技。。女主角还演过什么。
你管他叫啥	小布小布。你的小宝贝向你奔来什么事。你管他叫啥。
嗯吴谨言主演的延禧攻略就不错延禧攻略应该也很棒	听说9月份上映一部很不错的电影是白举纲吴谨言他们主演的。是吗那我们又可以一起看电影了。嗯吴谨言主演的延禧攻略就不错这部电影应该也很棒。
我查了一下影子写手的确是罗伯特哈里斯的小说改编的	是吗我只知道是罗曼波兰斯基导演的影子写手。你说的那个不如我说的名气大。我查了一下的确是罗伯特哈里斯的小说改编的。
哪个西安的导演啊	西安的导演啊我好像不知道呢。那是你不知道他老家是哪的一说名字你就知道了他可是捧红了不少明星啊。哪个导演啊。
我眼光不高	我没有女朋友。哎眼光不要太高嘛。不高。
他会过得快乐吗	他还会回来吗。我感觉不会回来了。他会过得快乐吗。
美国拍的电影肯定场景不一般你舍得告诉我哪部电影吗	去吧。对了他还拍过电影呢不过这部电影是在美国拍摄的。美国拍的肯定场景不一般你舍得告诉我哪部吗。
